2025-11-14 15:34:30 | INFO | app | Emission agrégée: {3: ['Souris-03', 'Souris-07', 'Souris-08'], 4: ['Souris-03', 'Souris-07', 'Souris-08'], 5: ['Souris-03', 'Souris-07', 'Souris-08'], 6: ['Souris-03', 'Souris-07', 'Souris-08'], 7: ['Souris-03', 'Souris-07', 'Souris-08'], 0: ['Souris-03', 'Souris-07', 'Souris-08'], 1: ['Souris-03', 'Souris-07', 'Souris-08'], 2: ['Souris-03', 'Souris-07', 'Souris-08']}
2025-11-14 15:34:31 | INFO | app | Emission agrégée: {3: ['Souris-03', 'Souris-07', 'Souris-08'], 4: ['Souris-03', 'Souris-07', 'Souris-08'], 5: ['Souris-03', 'Souris-07', 'Souris-08'], 6: ['Souris-03', 'Souris-07', 'Souris-08'], 7: ['Souris-03', 'Souris-07', 'Souris-08'], 0: ['Souris-03', 'Souris-07', 'Souris-08'], 1: ['Souris-03', 'Souris-07', 'Souris-08'], 2: ['Souris-03', 'Souris-07', 'Souris-08']}
2025-11-14 15:34:31 | INFO | app | Emission agrégée: {3: ['Souris-03', 'Souris-07', 'Souris-08'], 4: ['Souris-03', 'Souris-07', 'Souris-08'], 5: ['Souris-03', 'Souris-07', 'Souris-08'], 6: ['Souris-03', 'Souris-07', 'Souris-08'], 7: ['Souris-03', 'Souris-07', 'Souris-08'], 0: ['Souris-03', 'Souris-07', 'Souris-08'], 1: ['Souris-03', 'Souris-07', 'Souris-08'], 2: ['Souris-03', 'Souris-07', 'Souris-08']}
2025-11-14 15:34:32 | INFO | app | Emission agrégée: {3: ['Souris-03', 'Souris-07', 'Souris-08'], 4: ['Souris-03', 'Souris-07', 'Souris-08'], 5: ['Souris-03', 'Souris-07', 'Souris-08'], 6: ['Souris-03', 'Souris-07', 'Souris-08'], 7: ['Souris-03', 'Souris-07', 'Souris-08'], 0: ['Souris-03', 'Souris-07', 'Souris-08'], 1: ['Souris-03', 'Souris-07', 'Souris-08'], 2: ['Souris-03', 'Souris-07', 'Souris-08']}
2025-11-14 15:34:33 | INFO | app | Emission agrégée: {2: ['Souris-03', 'Souris-07', 'Souris-08'], 3: ['Souris-03', 'Souris-07', 'Souris-08'], 4: ['Souris-03', 'Souris-08'], 5: ['Souris-03', 'Souris-08'], 6: ['Souris-03', 'Souris-08'], 7: ['Souris-03', 'Souris-08'], 0: ['Souris-03', 'Souris-08'], 1: ['Souris-03', 'Souris-08']}
2025-11-14 15:34:33 | INFO | app | Emission agrégée: {2: ['Souris-03', 'Souris-08'], 3: ['Souris-03', 'Souris-08'], 4: ['Souris-03', 'Souris-08'], 5: ['Souris-03', 'Souris-08'], 6: ['Souris-03', 'Souris-08'], 7: ['Souris-03', 'Souris-08'], 0: ['Souris-03', 'Souris-08'], 1: ['Souris-03', 'Souris-08']}
2025-11-14 15:34:34 | INFO | app | Emission agrégée: {2: ['Souris-03', 'Souris-05', 'Souris-08'], 3: ['Souris-03', 'Souris-05', 'Souris-08'], 4: ['Souris-03', 'Souris-05', 'Souris-08'], 5: ['Souris-03', 'Souris-05', 'Souris-08'], 6: ['Souris-03', 'Souris-05', 'Souris-08'], 7: ['Souris-03', 'Souris-05', 'Souris-08'], 0: ['Souris-03', 'Souris-05', 'Souris-08'], 1: ['Souris-03', 'Souris-05', 'Souris-08']}
2025-11-14 15:34:34 | INFO | app | Emission agrégée: {1: ['Souris-03', 'Souris-05', 'Souris-08'], 2: ['Souris-03', 'Souris-05', 'Souris-08'], 3: ['Souris-03', 'Souris-05', 'Souris-08'], 4: ['Souris-03', 'Souris-05', 'Souris-08'], 5: ['Souris-03', 'Souris-05', 'Souris-08'], 6: ['Souris-03', 'Souris-05'], 7: ['Souris-03', 'Souris-05'], 0: ['Souris-03', 'Souris-05']}
2025-11-14 15:34:35 | INFO | app | Emission agrégée: {1: ['Souris-02', 'Souris-03', 'Souris-05'], 2: ['Souris-02', 'Souris-03', 'Souris-05'], 3: ['Souris-02', 'Souris-03', 'Souris-05'], 4: ['Souris-02', 'Souris-03', 'Souris-05'], 5: ['Souris-02', 'Souris-03', 'Souris-05'], 6: ['Souris-02', 'Souris-03', 'Souris-05'], 7: ['Souris-02', 'Souris-03', 'Souris-05'], 0: ['Souris-02', 'Souris-03', 'Souris-05']}
2025-11-14 15:34:36 | INFO | app | Emission agrégée: {1: ['Souris-02', 'Souris-05'], 2: ['Souris-02', 'Souris-05'], 3: ['Souris-02', 'Souris-05'], 4: ['Souris-02', 'Souris-05'], 5: ['Souris-02', 'Souris-05'], 6: ['Souris-02', 'Souris-05'], 7: ['Souris-02', 'Souris-05'], 0: ['Souris-02', 'Souris-05']}
